Period,PrivatePublicSecLiabilities,M1Growth,M1GrowthRate,GrowthStatusM1
2006-06,789344,3902,0.494334536019783,Growth
2006-05,785442,11099,1.41308969981234,Growth
2006-04,774343,-4251,-0.548981523691697,Decline
2006-03,778594,18177,2.33459286868381,Growth
2006-02,760417,10657,1.4014678788086,Growth
2006-01,749760,-6521,-0.869744985061886,Decline
2005-12,756281,4837,0.63957708841026,Growth
2005-11,751444,16213,2.15757927403772,Growth
2005-10,735231,-425,-0.0578049619779362,Decline
2005-09,735656,15336,2.08467000880847,Growth
2005-08,720320,6496,0.901821412705464,Growth
2005-07,713824,-2560,-0.358631819608195,Decline
2005-06,716384,6300,0.879416625720284,Growth
2005-05,710084,23118,3.25567116003177,Growth
2005-04,686966,-9604,-1.39803134361817,Decline
2005-03,696570,18574,2.66649439395897,Growth
2005-02,677996,2490,0.367258803886749,Growth
2005-01,675506,6262,0.927008790447457,Growth
2004-12,669244,-2975,-0.444531441447365,Decline
2004-11,672219,14377,2.13873752452698,Growth
2004-10,657842,2511,0.381702597280198,Growth
2004-09,655331,8143,1.24257817805048,Growth
2004-08,647188,10244,1.58284764241611,Growth
2004-07,636944,-5221,-0.819695295033786,Decline
2004-06,642165,19720,3.07086185014755,Growth
2004-05,622445,500,0.0803283824273631,Growth
2004-04,621945,71,0.0114158004325141,Growth
2004-03,621874,22198,3.56953337814413,Growth
2004-02,599676,472,0.0787091696182605,Growth
2004-01,599204,5356,0.893852510997924,Growth
2003-12,593848,777,0.130841562150584,Growth
2003-11,593071,9468,1.59643617711876,Growth
2003-10,583603,-590,-0.101096121849956,Decline
2003-09,584193,17083,2.92420484326242,Growth
2003-08,567110,5551,0.978822450670946,Growth
2003-07,561559,-10803,-1.92375155593624,Decline
2003-06,572362,4597,0.803163033185292,Growth
2003-05,567765,15060,2.65250587831233,Growth
2003-04,552705,-7933,-1.43530454763391,Decline
2003-03,560638,16681,2.97536021461264,Growth
2003-02,543957,5054,0.929117558924694,Growth
2003-01,538903,-3015,-0.559469886046283,Decline
2002-12,541918,1549,0.285836602585631,Growth
2002-11,540369,4857,0.898830243777863,Growth
2002-10,535512,-4788,-0.894097611258011,Decline
2002-09,540300,19056,3.52692948362021,Growth
2002-08,521244,-1214,-0.232904359570566,Decline
2002-07,522458,-6433,-1.23129514716972,Decline
2002-06,528891,21295,4.02634947465546,Growth
2002-05,507596,3960,0.780147991709943,Growth
2002-04,503636,-5099,-1.01243755410654,Decline
2002-03,508735,12722,2.50071255172143,Growth
2002-02,496013,32,0.00645144381296458,Growth
2002-01,495981,-5981,-1.20589296767416,Decline
2001-12,501962,-3860,-0.768982512620477,Decline
2001-11,505822,2959,0.58498839512714,Growth
2001-10,502863,-2735,-0.543885710422123,Decline
2001-09,505598,21515,4.25535702277303,Growth
2001-08,484083,-8549,-1.76601946360438,Decline
2001-07,492632,1085,0.220245538251677,Growth
2001-06,491547,8567,1.74286487355227,Growth
2001-05,482980,4352,0.901072508178392,Growth
2001-04,478628,-3711,-0.775341183549646,Decline
2001-03,482339,22754,4.71742902813167,Growth
2001-02,459585,2280,0.496099742158687,Growth
2001-01,457305,5555,1.21472540208395,Growth
2000-12,451750,2824,0.625124515771998,Growth
2000-11,448926,-1319,-0.29381234323697,Decline
2000-10,450245,3459,0.768248398094371,Growth
2000-09,446786,10799,2.41704082043753,Growth
2000-08,435987,-1548,-0.355056458105402,Decline
2000-07,437535,-1279,-0.29231947158513,Decline
2000-06,438814,8288,1.88872734233639,Growth
2000-05,430526,11895,2.76289933708998,Growth
2000-04,418631,484,0.115614944903746,Growth
2000-03,418147,13834,3.30840589553435,Growth
2000-02,404313,1954,0.483288937036405,Growth
2000-01,402359,11628,2.88995648164947,Growth
1999-12,390731,-9919,-2.53857513225211,Decline
1999-11,400650,9400,2.34618744540122,Growth
